경락일시,도매시장,법인,부류,품목,품종,출하지,규격,거래량,경락가
2020-02-28 02:15:09,서울가락,㈜중앙청과,과일과채류,딸기,기타딸기,전라남도 담양군,2kg 상자,6,23000
2020-02-28 02:15:09,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,12,10000
2020-02-28 02:15:08,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,전라남도 담양군,3kg 상자,18,18000
2020-02-28 02:15:07,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,33,14000
2020-02-28 02:15:06,서울가락,㈜중앙청과,과일과채류,딸기,기타딸기,전라남도 담양군,2kg 상자,2,12000
2020-02-28 02:15:05,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,7,53000
2020-02-28 02:15:05,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,15,8000
2020-02-28 02:15:04,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,2,20000
2020-02-28 02:15:03,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,11,10000
2020-02-28 02:15:02,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,15,14000
2020-02-28 02:15:01,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,6,54000
2020-02-28 02:14:59,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 예산군,3kg 상자,3,11000
2020-02-28 02:14:58,서울가락,㈜중앙청과,과일과채류,딸기,기타딸기,전라남도 담양군,2kg 상자,6,31000
2020-02-28 02:14:57,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,8,21000
2020-02-28 02:14:56,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 예산군,3kg 상자,6,12000
2020-02-28 02:14:55,서울가락,서울청과㈜,과일과채류,딸기,기타딸기,,2kg 상자,5,9000
2020-02-28 02:14:55,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,3,47000
2020-02-28 02:14:54,서울가락,㈜중앙청과,과일과채류,딸기,기타딸기,전라남도 담양군,2kg 상자,11,36000
2020-02-28 02:14:53,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 예산군,3kg 상자,17,13000
2020-02-28 02:14:52,서울가락,서울청과㈜,과일과채류,딸기,기타딸기,,2kg 상자,12,11000
2020-02-28 02:14:48,서울가락,서울청과㈜,과일과채류,딸기,기타딸기,,2kg 상자,15,16000
2020-02-28 02:14:48,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,1,43000
2020-02-28 02:14:48,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 예산군,3kg 상자,21,18000
2020-02-28 02:14:45,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,12,12000
2020-02-28 02:14:45,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,5,13000
2020-02-28 02:14:43,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,10,14000
2020-02-28 02:14:43,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 예산군,3kg 상자,27,20000
2020-02-28 02:14:42,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,31,19000
2020-02-28 02:14:42,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,7,44000
2020-02-28 02:14:41,서울가락,서울청과㈜,과일과채류,딸기,기타딸기,,2kg 상자,12,15000
2020-02-28 02:14:40,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 예산군,3kg 상자,21,17000
2020-02-28 02:14:40,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,39,19000
2020-02-28 02:14:39,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,10,14000
2020-02-28 02:14:37,서울가락,서울청과㈜,과일과채류,딸기,기타딸기,,2kg 상자,12,15000
2020-02-28 02:14:36,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 예산군,3kg 상자,8,17000
2020-02-28 02:14:35,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,2,10000
2020-02-28 02:14:35,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,41,22000
2020-02-28 02:14:33,서울가락,서울청과㈜,과일과채류,딸기,설향,,2kg 상자,4,14000
2020-02-28 02:14:32,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,3,48000
2020-02-28 02:14:31,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,20,13000
2020-02-28 02:14:30,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 예산군,3kg 상자,9,16000
2020-02-28 02:14:29,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,23,15000
2020-02-28 02:14:27,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,6,46000
2020-02-28 02:14:27,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 예산군,3kg 상자,29,17000
2020-02-28 02:14:26,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,18,19000
2020-02-28 02:14:24,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 예산군,3kg 상자,16,17000
2020-02-28 02:14:23,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,18,20000
2020-02-28 02:14:23,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,1,6000
2020-02-28 02:14:22,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,2,40000
2020-02-28 02:14:20,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,3,8000
2020-02-28 02:14:20,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,2,22000
2020-02-28 02:14:18,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 예산군,3kg 상자,2,15000
2020-02-28 02:14:18,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,4,9000
2020-02-28 02:14:18,서울가락,서울청과㈜,과일과채류,딸기,장희,,2kg 상자,10,12000
2020-02-28 02:14:17,서울가락,서울청과㈜,과일과채류,딸기,장희,,2kg 상자,4,12000
2020-02-28 02:14:16,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,5,18000
2020-02-28 02:14:16,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1kg 접시용기 트래이,1,5000
2020-02-28 02:14:14,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1kg 접시용기 트래이,4,6000
2020-02-28 02:14:14,서울가락,서울청과㈜,과일과채류,딸기,장희,,2kg 상자,5,11000
2020-02-28 02:14:14,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,1,40000
2020-02-28 02:14:13,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,18,22000
2020-02-28 02:14:13,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 논산시,3kg 상자,3,9000
2020-02-28 02:14:12,서울가락,서울청과㈜,과일과채류,딸기,장희,,2kg 상자,17,12000
2020-02-28 02:14:12,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,12,12000
2020-02-28 02:14:11,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1kg 접시용기 트래이,1,5000
2020-02-28 02:14:11,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,1,45000
2020-02-28 02:14:10,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 논산시,3kg 상자,15,10000
2020-02-28 02:14:10,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,30,22000
2020-02-28 02:14:10,서울가락,서울청과㈜,과일과채류,딸기,장희,,2kg 상자,17,16000
2020-02-28 02:14:09,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,8,12000
2020-02-28 02:14:08,서울가락,서울청과㈜,과일과채류,딸기,장희,,2kg 상자,13,17000
2020-02-28 02:14:07,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 논산시,3kg 상자,42,13000
2020-02-28 02:14:07,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,5,22000
2020-02-28 02:14:07,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,20,10000
2020-02-28 02:14:06,서울가락,서울청과㈜,과일과채류,딸기,장희,,2kg 상자,15,11000
2020-02-28 02:14:06,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,7,52000
2020-02-28 02:14:04,서울가락,서울청과㈜,과일과채류,딸기,장희,,2kg 상자,9,12000
2020-02-28 02:14:03,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 논산시,3kg 상자,62,16000
2020-02-28 02:14:03,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1kg 접시용기 트래이,33,9500
2020-02-28 02:14:02,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,1,12000
2020-02-28 02:14:02,서울가락,서울청과㈜,과일과채류,딸기,장희,,2kg 상자,7,14000
2020-02-28 02:14:01,서울가락,한국청과㈜,과일과채류,참외,기타참외,경상북도 성주군,10kg 상자,8,53000
2020-02-28 02:14:00,서울가락,㈜중앙청과,과일과채류,딸기,장희,경상남도 산청군,1kg 접시용기 트래이,68,9000
2020-02-28 02:14:00,서울가락,동화청과㈜,과일과채류,토마토,대저토마토,부산 강서구,2.5kg 상자,9,7000
2020-02-28 02:14:00,서울가락,㈜중앙청과,과일과채류,방울토마토,대추방울,충청남도 논산시,3kg 상자,3,14000
2020-02-28 02:14:00,서울가락,서울청과㈜,과일과채류,딸기,장희,,2kg 상자,6,11000
2020-02-28 02:13:59,서울가락,서울청과㈜,과일과채류,방울토마토,대추방울,,3kg 상자,6,20000
2020-02-28 02:13:58,서울가락,서울청과㈜,과일과채류,딸기,장희,,2kg 상자,7,12000
